,comment,TOXICITY,TOXICITY_bin
23,eggplanthehe u like penis eggplant,0.93232936,1.0
24,At least one did something useful and kept his balls and dic% the other one just did it for famebeaming face with smiling eyesrolling on the floor laughingrolling on the floor laughingnauseated face,0.8060606,1.0
25,nauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated face,0.5921867,1.0
26,smiling face with heart-eyes Can't wait to see avocadoeggplantcucumberred applestrawberrymushroom next year,0.08239915,0.0
27,You look ROUGH nauseated facenauseated face,0.6627428,1.0
28,You like you have the plague plus coronavirus plus sars plus mers plus cancer plus mad cow disease all mixed in one. nauseated facenauseated facenauseated facenauseated facenauseated facenauseated facenauseated face,0.69542736,1.0
29,This photo is just so wrong nauseated face,0.55176294,1.0
30,wen ppl think its a good idea to get a sec change until they start aging like a man skullloudly crying face,0.5154597,1.0
31,What the heckface with tears of joyface with tears of joy Bruce is melting nauseated faceface vomitingface vomiting,0.7093121,1.0
32,What in the actual F?!?! rolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughingskullskullskullskullskull,0.31782585,0.0
33,eggplantsweat dropletswoman white hair,0.113270946,0.0
34,"Omg Bruce, you look like pile of poo",0.8373216,1.0
35,pile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poopile of poo,0.89916575,1.0
36,Imagine your daughters exploiting their workers for profit. clown face #payup,0.80863315,1.0
37,KANYE is a clownclown face trying to sell an album...he's not mentally ill..and if he is @kimkardashian @krisjenner need to get him in the hospital for a psychiatric hold.,0.75734866,1.0
38,nauseated facenauseated facenauseated faceface vomiting,0.66258585,1.0
39,nauseated face just a dude in a dress,0.5925026,1.0
40,raising handsred heartred heartI love you middle finger,0.19456042,0.0
41,Explain how you go from winning gold medals to not know if you sit down or stand up too piss. nauseated face,0.76961666,1.0
42,Oof only 45 followers that roughnauseated faceface vomiting,0.46161523,0.0
43,face vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingnauseated facenauseated facenauseated faceface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomitingface vomiting I like both yo daughters tho,0.6645816,1.0
44,you are a MAN you cannot hidden that face vomitingface vomitingthumbs down,0.84956527,1.0
45,Oh boy! Thanks for the heads up for what’s going to “happen soon!” I wonder which false pirate flag event will ensue first hmm!! Are you freaks even human or are you  really snake?,0.69542736,1.0
46,"Damn, 2020 is coming for you sis snake LOL",0.88824683,1.0
47,"HEY ELLIE, JUST SAW YOUR POLITICAL SHOW WAS ON &amp; I JUST TURNED thumbs down light skin tone y o u backhand index pointing left light skin tone. OFFF!!!!!!!!!!",0.5590135,1.0
48,Then How we may know what she said face with rolling eyes.. We spent 1 min of our life to have a beep in the end thumbs downthumbs down,0.14980365,0.0
49,@Inevitable ET So the want to micro chip out Black America citizens first so you can brainwash themThe Gates are Evil people. Bill Gates doesn’t even have a degree in medicine. pouting facepouting facepouting face Americans don’t want your vaccine. You belong in jail.,0.6045262,1.0
50,hibiscusred heartsmiling face with heart-eyes,0.24035199,0.0
51,All the way Joe!!!! Nothing less thumbs upthumbs up,0.18093884,0.0
52,red heartred heartred heartred heartred heartred heart,0.060756914,0.0
53,red heartred heartred heart,0.061923448,0.0
54,@bbfskier this little guy is hilarious face with tears of joyred heart,0.4148747,0.0
55,RFR INSTANT beating heartwoman fairy medium-light skin tonebeating heartbeating heartfirebeating heartbeating heartfirefire,0.31089434,0.0
56,Sweetred heart,0.058754053,0.0
57,firefirefirelove-you gesturelove-you gesturelove-you gesturelove-you gesturelove-you gesturelove-you gesturelove-you gesturelove-you gesture,0.17460033,0.0
58,sparkling heartsparkling heart,0.13839403,0.0
59,We all love YOU face blowing a kissface blowing a kissface blowing a kiss,0.69542736,1.0
60,Yay! smiling face with heart-eyes,0.14919727,0.0
61,Queeriness! rainbowrainbowrainbow,0.1747228,0.0
62,The bang upside-down face I need the old Nicki bang back! Love you tho smiling face with heart-eyescrown,0.2341394,0.0
63,raising handsraising handsraising hands,0.07554256,0.0
64,Today i dream that i see u and u are my bff its just a dream but that how much i adore uloudly crying facesparkling heart,0.32818723,0.0
65,purple heartpurple heartpurple heartpurple heartpurple heartpurple heart,0.0834568,0.0
66,I was cackling!!! The banana char is just-  loudly crying faceloudly crying faceloudly crying faceloudly crying face honestly these people are really creative for thinking of that.,0.3755818,0.0
67,"@RepGiveBack @TSwiftIsMyIdo1 @vkuznetsova13 thank you for doing this! i followed them ever since ♡ my fave song is betty ^-^ coincidence that i have my nickname as well (it means a lot to me as a swiftie rolling on the floor laughing) even tho it's james' pov and he's a cheater, i just love how miss taylor swift bring back teenage love concepts red heart",0.28813466,0.0
68,face blowing a kissface blowing a kissface blowing a kissface blowing a kissface blowing a kiss,0.6657009,1.0
69,sparklessmiling face with heart-eyessparkling heartfiredizzyrainbow flagmilky waycometshooting starred heartorange heartyellow heartgreen heartblue heartpurple heart,0.112862036,0.0
70,red heartYes yes totally absolute twitch,0.14866018,0.0
71,face with tears of joy I actually thought the internet was talking to me xoxo I love Ellen!!!!,0.047968414,0.0
72,purple heartgrowing heartpurple heartpuppies!growing heartpurple heartgrowing heartsmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyes,0.30315757,0.0
73,folded hands dark skin tonefolded hands dark skin tonefolded hands dark skin tonefolded hands dark skin tonefolded hands dark skin tonefolded hands dark skin toneman facepalming dark skin toneman facepalming dark skin toneman facepalming dark skin toneraised fist dark skin tone,0.58663136,1.0
74,pizzapizzapizzapizzapizzapizzapizzapizzapizzapizzapizzapizzapizza,,
75,crown firesmiling face with heart-eyes,0.36822873,0.0
76,Just Beautiful! Brought me to tears! red heart,0.077977225,0.0
77,handshakeraising handsraising handsraising handsfolded handsred heartheart with arrowtwo heartsrevolving heartsred heartheart with arrowtwo heartsrevolving heartsslightly smiling face,0.10892018,0.0
78,pizzapizzapizzapizzapizzapizzapizzapizza,,
79,loudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceheart suitheart suitheart suitloudly crying faceheart suitheart suitheart suitheart suitheart suitcuteness,0.45412052,0.0
80,"Thank you for your love, generosity and giving spirit. I heard about what you did in Kroger’s from the shade room. You’re always doing awesome acts of kindness. Again thank you! I’m a neighbor of yours being I just moved to Oakland City off of Avon. Hope to meet you one day. I just had to comment and say thank you for all you have done and all you are doing. May GOD continue to bless you! red heartred heartred heartred heart",0.05759548,0.0
81,growing heartgrowing heartgrowing heartgrowing heartgrowing heartgrowing heartgrowing heartgrowing heartgrowing heartgrowing heart,0.158488,0.0
82,Love itsparkling heart,0.11240869,0.0
83,So proud to be Korean too!thumbs upclapping handsclapping hands,0.15698984,0.0
84,clapping handsclapping handsclapping handstwo heartstwo heartstwo hearts,0.1503884,0.0
85,Yes ma'amface blowing a kisssmiling face with heart-eyeskiss markfirefirefire,0.4260942,0.0
86,I just love this commercial smiling face with heartssmiling face with open handssmiling face with heartssmiling face with open handssmiling face with hearts,0.24037634,0.0
87,red heartred heartred heartred heartred heartred heartred heartred heartnaturelle smiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyes,0.14447382,0.0
88,Absolutely stunning Maia! two heartscrown,0.19556797,0.0
89,red heartorange heartyellow heartgreen heartblue heartpurple heart,0.06978069,0.0
90,The best youtuber ever smiling face with sunglasses,0.18778825,0.0
91,Beauttttiiiffffulll  loudly crying facered heart,0.27605414,0.0
92,feature with 69 on the album firefirefire,0.06591248,0.0
93,Love red heart Love testable talks !! That’s what’s real... thank you folded hands light skin tone gracias ,0.11865586,0.0
94,"I really really reaaaallly love y’all loudly crying face not only talented, but humble and pure at heart",0.31089434,0.0
95,Nice shot @rorykramer fire,0.5170419,1.0
96,Congraaaaaatttttttttssssss clapping hands medium-light skin toneclapping hands medium-light skin toneclapping hands medium-light skin toneclapping hands medium-light skin toneclapping hands medium-light skin toneclapping hands medium-light skin tone,0.37313452,0.0
97,This was a nice reunion. Only thing that&#39;s missing is uncle Phil. RIP man.We miss you crying facecrying facecrying face,0.40333834,0.0
98,Slay two hearts,0.6049222,1.0
99,THIS SAID LESBIAN RIGHTS smiling face with heartsrainbow flag,0.7270183,1.0
